Date,      Open,           High,              Low,             Close,            Volume,      Index Ticker
2019-01-02,2476.9599609375,2519.489990234375,2467.469970703125,2510.030029296875,3733160000.0,^GSPC
2019-01-03,2491.919921875,2493.139892578125,2443.9599609375,2447.889892578125,3858830000.0,^GSPC
2019-01-04,2474.330078125,2538.070068359375,2474.330078125,2531.93994140625,4234140000.0,^GSPC
2019-01-07,2535.610107421875,2566.159912109375,2524.56005859375,2549.68994140625,4133120000.0,^GSPC
2019-01-08,2568.110107421875,2579.820068359375,2547.56005859375,2574.409912109375,4120060000.0,^GSPC
2019-01-09,2580.0,2595.320068359375,2568.889892578125,2584.9599609375,4088740000.0,^GSPC
2019-01-10,2573.510009765625,2597.820068359375,2562.02001953125,2596.639892578125,3721300000.0,^GSPC
2019-01-11,2588.110107421875,2596.27001953125,2577.39990234375,2596.260009765625,3447460000.0,^GSPC
2019-01-14,2580.31005859375,2589.320068359375,2570.409912109375,2582.610107421875,3689370000.0,^GSPC
2019-01-15,2585.10009765625,2613.080078125,2585.10009765625,2610.300048828125,3601180000.0,^GSPC
2019-01-16,2614.75,2625.760009765625,2612.679931640625,2616.10009765625,3882180000.0,^GSPC
2019-01-17,2609.280029296875,2645.06005859375,2606.360107421875,2635.9599609375,3802410000.0,^GSPC
2019-01-18,2651.27001953125,2675.469970703125,2647.580078125,2670.7099609375,4009010000.0,^GSPC
2019-01-22,2657.8798828125,2657.8798828125,2617.27001953125,2632.89990234375,3923950000.0,^GSPC
2019-01-23,2643.47998046875,2653.18994140625,2612.860107421875,2638.699951171875,3358770000.0,^GSPC
2019-01-24,2638.840087890625,2647.199951171875,2627.010009765625,2642.330078125,3449230000.0,^GSPC
2019-01-25,2657.43994140625,2672.3798828125,2657.330078125,2664.760009765625,3821000000.0,^GSPC
2019-01-28,2644.969970703125,2644.969970703125,2624.06005859375,2643.85009765625,3630820000.0,^GSPC
2019-01-29,2644.889892578125,2650.929931640625,2631.050048828125,2640.0,3518070000.0,^GSPC
2019-01-30,2653.6201171875,2690.43994140625,2648.340087890625,2681.050048828125,3883270000.0,^GSPC
2019-01-31,2685.489990234375,2708.949951171875,2678.64990234375,2704.10009765625,4953800000.0,^GSPC
2019-02-01,2702.320068359375,2716.659912109375,2696.8798828125,2706.530029296875,3782490000.0,^GSPC
2019-02-04,2706.489990234375,2724.989990234375,2698.75,2724.8701171875,3369450000.0,^GSPC
2019-02-05,2728.340087890625,2738.97998046875,2724.030029296875,2737.699951171875,3597620000.0,^GSPC
2019-02-06,2735.050048828125,2738.080078125,2724.14990234375,2731.610107421875,3486590000.0,^GSPC
2019-02-07,2717.530029296875,2719.320068359375,2687.260009765625,2706.050048828125,4114040000.0,^GSPC
